Insult,ID,Comment
1,42,is that your sum total to any conversation is first abuse and then calling them troll you are typical socialist idiot keep up your non existent class warfare it is as pointless as you
0,43,@name @name welp then nbw
0,44,good job fellas did not quite read the rules about signature piece but guess that was as good as any found some great blogs to follow and to share over at g+ if am not commenting on your blogs it is because always throw my two cents in when post my share add me on there if you are googler again congratulations to the winners and hope we get the chance to submit something else this was fucking fun
0,45,say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had kid week ago women aren safe to have sex after child birth for at least weeks so even if this was consensual it would have been wayyyyy too soon and hurt the lady am so glad the the baby is so young and will not remember this event happening in it is house and hope the mother recovers quickly
1,46,faggot
0,47,you right if you are relaxe then you can give better result or perform and your identity should be from your work
1,48,aimless abe you are delusion weirdo that should be locked up inside and kept away from computers anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end
0,49,that do not doubt as blackberry clone but your original argument was not that android would have existed just that android somehow predates ios development
0,50,okc should work out deal to get pg who plays more like parker or cp think nash at the point and move westbrook to sg that team would be unstoppable imagine the shots nash would create for durant then westbrook would be at his natural position too the guy does not create shots or distribute
0,51,maher is show goes on and on palin is alakda show gets canceled isn the free market
1,52,even as troll you are pathetic failure
0,53,grazie mille sabrina sei cos dolce baci
0,54,yeah well it would still be better than letting them sit there for years on my dime before sticking needle in their veins say give them all noose if they choose to kill themselves so be it
0,55,um holy fuck need cigarette
1,56,you are moron truth is beyond your reach
0,57,you seem wistful
0,58,damn speedy recovery paul raining prayers down on you
0,59,the laughs you two heard were triggered by memories of his own high-flying exits off moving beasts
1,60,your anti-semitic rants are not welcomed here you are racist moron fu
0,61,@name was fredex on this
1,62,god you are tiresome get life you loser
0,63,stop pretending ur not bradley is side you are the bs are you blind do not give us that stupid long explainations of yours you sounds like that idiot judges exactly carbon copy arum we need our moneyyyy bacckkkkkkk
0,64,fucking weird game man
0,65,told you would give it if you did you started acting likje tough guy behind your moms computer then asked you times for an address and you still will not give it
0,66,do not know if lewis is little boy or little girl either way it becomes the third on my list of petulant idiots you will understand when you grow up ask an old bastard member of your family to explain such actions can not be tolerated how come you blame the line weird
0,67,thats pathetic flop fuck you jvg
0,68,why should they bother improving ios if they sell more phones than they care to produce these advice are better served to the also-runs wp first and foremost
0,69,live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they would not be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you aren because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely clueless stuff you wonder why the government gets away with corruption so many ignorant people thats why you shouldnt judge all by the standard these huge amount of argies who see the cristina drum beating for what it is the same as all presidents of argentina do using it to cover their failing
0,70,you better hope because the marlins have history of giving up their superstars
0,71,well you guys have gone and done it now you put the words china and chinese up the required number of times for the dating asians ad to come up evidently ms zhang kg and cm [for bmi of from hunan china wants to meet me she has her little mouth open like she is speaking what is that you ask well yes as matter of fact am physician why are you clapping your hands together and jumping up and stop that squealing young lady and exprain yourself
0,72,you mean like your off topic obama rant
0,73,hope they do it inconjunction with july
0,74,surely will be crushing blow when he does not get the next four years would you consider leaving the
0,75,have not watched fox news in years true
0,76,are you in
0,77,will take that temp really hate the heat
0,78,alexis bledel can act wait can have this blind spot when it comes to impossibly beautiful women shit maybe she can not act fuck what the hell do do the hell do do
0,79,like your comments however would go one step further it is not time to let the people of il fight back rather the citizens of il just need to fight back period will carry next time travel into little beirut chicago
1,80,fact georgia passed strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over agriculture job openings and they have been able to fill about of them in past year all you white real americans who are looking for work that the latinos stole from you where are you the jobs are vadalia just waiting for you or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners you scream you complain and you sit at home in your wife beaters and drink beer typical real white tea klan
1,81,of course you would bottom feeder
0,82,
1,83,you are fukin moron you are just butthurt that you got rejected on wikipedia call yoursilf scolar or whatever am better than you just and already wikipedia administrator you are just stupid ashole
0,84,he is doing what any president doe is on this day do not recall if other presidents appeared at the wall election year yea but then again you would never say anything if he did not appear you can not have it both ways
0,85,yeah and you are ing expert go back to picking through trash barrels you tool
0,86,those trails will definitely get plowed regardless of the investigation they will just see it as easier to plow the area than deal with it and once they got plowed would never return or risk getting stopped and heavily questioned by the po-po is all the stupid comments are unnecessary it is really easy to be cold and heartless and act like you do not give fuck but like to see these anonymous commentators talk shit like that in front of this person is family or even their own mother is grow up children and learn some respect
0,87,suh had sack the last time they played
0,88,and you are support argument a-hole not everyone games on their pc is either spec whores miss the point entirely prefer the mac to my daily work that beings said am also big believer in the best tool for the job and there are certain things that pc is do better database and servers for instance the thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile
1,89,you are fucking dumb ass go back to you xbox dickhead grow up you little fanboy
0,90,you know what would be if you guys talked crap back to us more entertaining
0,91,@name @name am assuming you are in school in the states
0,92,they should put all the gay and lesbians on an island oh wait there is manhattan
0,93,yolo this is hilarious canyon students are so racist even though most of us are mexican fuck gabby
1,94,lets see your papers arealconservati till then shut the fuuk up sticky-chin
0,95,an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion you all aren victims of religious oppression you are the oppressors btw am not gay just love how you people try to defend your persecution of others while claiming your are being persecuted
1,96,correction bitch you do not think it is superb because your hating ass does not know talent and again am still waiting on you to submit video of you singing where is the youtube am sure you will get all kinds of rave reviews lol
1,97,think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg go back to sleep we will wake you when you are needed again
1,98,and you keep on your knees and keep telling yourself that is sausage in your mouth and that is cream cheese you are swallowing
0,99,what was that like words about you are going after andrea what was fox infomercial not broadcasting how about the apologies issued for the epa and yet here you are attacking andrea mitchell about some stupid gas station gimmick here is another newsflash for you mr romney are is out of touch we all already know it mr romney is amazement wasn just about some gadget at petrol filling post but that people could actually buy food products there and that they actually eat it this very second mr romney isn even carrying wallet and it is very likely that he does not even know where it is am still waiting for someone to ask him the tough campaign trail question of how much does gallon of milk mitchell and gas station food unbelievable
0,100,@name needs to give me fucking like @name hows everyone
1,101,fuck you both
0,102,powers msnbc is far far more biased and hostile in it is comments than fox at least at fox there are usually opposing views msnbc is just shill for the president and they keep having to fire their hosts for all the outrageous remarks they make now cnn is getting almost as bad as msnbc
0,103,what horrible trades are you talking
1,104,and retards like you back to the institutions
0,105,weapons lol hes an idiot an waste of human space had it made and ruined it all
0,106,not big fan of rondo but the dude can ball would not classify him as big talker just trying to psyche himself up
1,107,pig maher you forgot your meds again you know you are one sick sob so do not forget
0,108,it is not just the rich screaming about taxes it is the average middle class american who pays his/her taxes and does not see the benefit of those taxes but instead sees waste pay federal taxes but do not use public schools am not collecting any govt welfare or benefits pay for my own healthcare etc use the roads and sewers so do not mind paying the city taxes for that my trash pick up is private so pay that directly to the trash company everyone should pay for what they use not based on what they make if one wants to be part of society one should contribute and pay their fair share that includes the rich or poor
1,109,mr king isn it about time you either grow pair of balls or join the democrats who will love pussy cat like you
0,110,am amused by the fact that weblog cons drop any issue once it turns into loser this is an expression of that amusement
0,111,gabriel getting time to blow that
0,112,exactly like do not really give shit how fat person may or may not feel but it really is shitty when your clothes do not fit and not in am so gross way but in can not very well leave the house naked way
0,113,welfare queen into whore not crack whore think whore is more productive worker than welfare queen
0,114,political correctness is doctrine fostered by delusional illogical minority and rapidly promoted by an unscrupulous lamestream media which holds forth the proposition that it is entirely possible to pick up piece of ch*t by the clean end
1,115,what an ass you are funny see lot more of you nuts in cars then ever have of pilots in panes
1,116,you can take international law and shove it you are such schmuck don know why even comment on your idiotic posts the peace activists on the ship started hitting the soldiers with weapons in order to kill the
0,117,blown is little pissy after he applied for union job and was turned down he is just another good republican minion spreading today is message
0,118,if you dont have teleport and air-mix ups you are nothing to me
0,119,stop trying to sound like victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours you put nigga on da spot get up in his face and start throwing yo stank breath on us believe me you got it coming yal go no right period
0,120,robert moroni you fuckin dimwit do you know what parody it is fuckin parody of fox news and it sounds accurate to me
1,121,the most evil callous vile creature in all of mythology is your made up god stop killing and eating babies you dirty christard
0,122,oops how embarrassing for me you are right people st bow to the superior movie intellect of your son
0,123,if you throw trash out your window you get yellow star bumper sticker
0,124,once more we see where the soft immigration policy has let the citizens down bet they come from family who have less education than retarded hampster yet were given nice new life in britain reap what you sow
0,125,nope not working for me either www facebook com/annagillmodel you have my email
0,126,that jump shooting bit gets old when you do not get calls on contact and get your shot thrown off you look for separation and you jump shoot especially if you ain big which is most teams because bigs and longs are rare/expensive at pro level
0,127,this was tough loss for us right now there are guys blowing each other in the locker room scott brooks
1,128,you are complete and utter moron
1,129,your still loser man we must have really gotten under your skin lol
0,130,the ignorance here is astounding clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it he is guilty she was raped for all of the morons who have said ugly statements about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable think it is reasonable that when you invite someone to make professional presentation at your company that you provide necessary protections for that individual do not care whether cleveland was employed or just hanger-on professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slim is knowledge and permission if you went to store and were attacked by an employee or friend of the boss who was permitted to hang around premises) would you not hold the company
0,131,fuck hard then fuck slow then fuck hard and then start again
0,132,@name were you here for the wide receiver
0,133,are you fucking kidding me no mirrors fuck you freesteam
1,134,nothing was confirmed in the th century you moron there was no modern medical science to prove anything dont try to quote from the same period of time that brought us the spanish inquisition you are the lowest of the low feel sorry for you
1,135,my best friend who is allergic to wheat corn soy red dye yellow dye pistachios tree nuts kiwis cherries oranges bananas and seafood if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath last week she got cut by dog leash that had pistachios on it and almost went into anaphylactic know little about food allergies asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die she said you are bitch so do not really think it is insulting that she wants food allergies so she can die think we are back to you are bitch
0,136,so not focusing on boston vs miami for minute who is the scarier opponent sanan or
1,137,floyd has better knock out percentage than pacman you dumb fuuuuck
0,138,so wat have you bn doing all along if you want to train them nw we thot yo presence must strengthen the strike force bt proving otherws shame
0,139,the dean of mean is typical tory who believes there is one law for him and another one for everyone else big steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the campaign
0,140,oh fab we have tennis player who has sense of humour and who can smile mr murray please note mind you he has left it too late to cheer up misery guts
0,141,you are repeating yourself mate
1,142,you are one sick puppy
0,143,very true indeed have tried to sit down and study for hours straight without any breaks and am not nearly as effective as when take few breaks
0,144,so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga
1,145,can say dick on dick
0,146,@name right never said it was fool proof tho
0,147,the wonders of plastic surgery
0,148,ron paul cynthia mckinney the all wacko ticket calling all paul sheep to the barn for your daily feeding do not forget your wallet
0,149,go on move to hollywood join russell brand and take dan lobe with you
1,150,the way this fucking hoodrat is standing in that picture is boiling my blood like to meet this cunt in an alley for few minutes selfish fucking twat
0,151,ha today group of argentine veterans from the falklands war beat the crap out of senator of the peronist party the party in power right now for using them for political purposes the people in argentina are getting tired of this show the politicians are doing to distract the argentine population from other far more important problems
0,152,we afford what we have to afford marco
0,153,hey moron buttons kerry will not be able to bully obama like romney bullied gay boy when he was in prep school by physically assaulting him but the clown romney will not be able to bully obama in debate either so it is wash
0,154,and like it matters you are waiting for next year am still living in the playoffs suck on it loser
0,155,should have hung for what he did this country is all for the monsters that lurk among us
0,156,@name @name @name @name @name @name right on as long as we are both open and honest about how we come to our own conclusions couldn give shit if we disagree
0,157,they are pecking him to death he gives up ugly runs
0,158,@name jungwirth definitely thought that only deserved but hey takes what gets
0,159,can not trend am on my ipod touch
0,160,this was the joint back in the day and am the only one who thought gregory looked like he could be philip michael thomas lol
1,161,how old are you knicks fan beeyatch not melo ball licker
0,162,anything better than the grover norquist tea party wall street corporatist gop
1,163,bitch nigga you need an eye exam and eye glasses cassie one of the finest women on earth
0,164,are you attempting to be kinky you have some kind of
0,165,you get the gold star the best post have seen on here in months hilarious great job canadian ps think we need you to come down here will sponsor you
0,166,how old are
1,167,nothing worse then idi who smugs because of who he is gay
1,168,you are child rapist in ny you have admitted it many times you sick fuck you have no room to talk
0,169,@name the man was genius
1,170,anti american piece of-shit you are
1,171,have you be sipping at th sacramental wine really are dense little dude
0,172,yes but remember the government is listening to the views of the owner of wonga wonga will loan your business money at astonomical rates)
0,173,the tirade isn what people caused people to dislike her read her comments like this one know of her story and her husband we all have stories mean almost died and venus is struggling herself so you know it is life she comes across as uncaring and selfish on top of that she never gives an opponent any credit it is always about what she did absolutely like venus consistently root for her and have for years but serena is an absolutely awful person that needs to grow up
0,174,stacy is right dumbama and his fat-ass wife and their cronies have created this atmosphere of govt interference and what they feel govt entities should be doing schools and others take their cues from the top down and when they see this admin forcing restaurants to publish calories on menus then they feel they should be doing their part for their messiah and become food police can not believe that school puts out an approved food list would be suing
0,175,gallup daily may updates daily at et; reflects one-day change no updates monday may next update will be tuesday may obama approval obama disapproval %- presidential election obama romney -day rolling average it seems the bump romney got is over and the president is on his game
0,176,this is someone whose self-importance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of man who holds the futures of many employees in his hand
0,177,do not stand on your porch
0,178,camp has got to come in here and get this guy this is where you earn your money
0,179,you could not be more wrong the american tea party stands for limited government fiscal responsibility and return to our constitution the tea party when it rallies or protests does it legally with brains we pay the permits arrange the events say our piece and then clean up and go home the occupukes on the other hand are not only different they are opposite they trespass they steal they show up without permission they damage private property they collect urine and feces to throw on people they set fires they smash store windows they rape young girls can go on and on oh and the heat ac and warm beds were all paid for by those people do not kid yourself that we are not committed to our cause because we are not stupid like you or ows there is right way and wrong way to do things you and the occupunks have choosen the later
0,180,because that is how they get their rocks off our government is run by pedophiles who sexually torture children
0,181,he actually said what spoiled bitch am never hated colton the way most of the posters did because felt for him being gay in republican family can only mean that you have been villified he was dismayed that it was men vs women as that took away any comfort zone he may have had the men did not welcome him and when he got power it went to his spoiled bitch head
0,182,with inbreeds being the longest running malcontents
0,183,quote from teresa may that is why we have been trying to deport him to jordan his home country trying since when does sovereign have problems trying to deport diseased minded scum like him stuff the eu laws and if the uk is fined by the eussr for doing this then do not pay it and then stop all financial payments to this corrupt experiment it does not work its broke so listen to the people camoron and have an in or out referendum now
0,184,@name you are right concerning campbell my bad the qb carosel has me mixed up anyways still do not like knapp and think we went that road with him once before and do not need to revisit it again cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself if knapp was truely great at what he does he would have had some positive influence on this team with his quarterbacks and in my opinion he did not carson palmer needs guy like saunders whose offensive connection to him is undeniable
0,185,will like your comment too if it makes you feel better
0,186,why did not obama go to wisconsin and urge the republicans to abandon their own america form of
0,187,if they deleted his post wold surely be banned for my flaming all over joe
0,188,what the hell are you talking
0,189,people dancing drinking having fun at the clubs in miami life is good in miami heat won lets get drunk heat fans
0,190,this is so american load of utter positive people makes positive lives fake christian bullshit put it this way take for up complaining this to me just reads like become walk over if we all gave up complaining nothing great would get done or crap would be accepted go into hairdressers get shit haircut for do not complain because you are happy pissed-off with your shit haircut person who is just been taken for ride give up the luxury of criticism for start it is not luxury you can be critical if you want believe it is trait that enjoy many people are idiots it is the truth if you are in job and you do not criticise people who do crap work then you will have an office/workplace full of people who can not do their job these are basic personality traits of intelligent people but guess retards are happier than all of us
0,191,you are one of my favorite commenters
0,192,dude it looks nothing like the fag-box it looks more towards playstation-meets-alienware console it has already been proven that modern consoles continually progress towards pc so please take your idiotically painful comments elsewhere
1,193,howe does it feel to be freedom leech
0,194,and all the arseanal fans silently weep into their hankies there is nothing to see here fellas he is free man and still the spurs manager unlucky
0,195,yes you have to have comedy in your life
1,196,moron the latinos are becoming large voting block you can not just dismissed them like you did with blacks gay women and other minorities you need majority to win and all whites do not buy your crap
0,197,when is bush going to be asked to campaign for romney when he does will buy you dinner wonder why bush is not wanted the better question is why sitting president like obama is not wanted notice he did fundraisers the weekend before the vote all around wisc never stopped in wisc notice no one wants his help
0,198,wait till raptor grabs it in mid air bad days man
0,199,have you ever given him props or at least not dissed him out on any am not fan of his movies either but that do not mean start talking shit on every fucking post
0,200,@name other that dynamic has been clear since the teabaggers threw their first tantrum in january of and rush declared that he wanted the president to fail they want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choices over the past three years
1,201,you are stuck on stupid obviously give me break and do not vote moron
0,202,this man is drunk as fuck he is on drugs he is male prostitute
1,203,who told you that stupid ask yourself who kick his daughter out of the house at the age when it is comes protecting weaman you guys the last ppl on earth who can open their mounths
0,204,@name go west try big they are dope
1,205,ight ima get in on you mr army man or the fuck you are have family fighting on battle field right now atleast members are all juggalos just like me you little ick sucking divk whipped bitch if you have the time to sit here and talk shit about family then you obviously aren doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow pair you pussy
0,206,you are so correct the red sox are the worst team
0,207,headlines going to be in few months mark wright reject back home
0,208,did not watch game so this morning watched sky see what fuss was about have to say at times football fans have to put there loyalty to respective clubs aside what ballotelli did was disgrace he won;t admit it but that was deliberate and has no place in football will be amazed if he isn banned
1,209,are you you think iraq afghan were avenging lol get yourself checked buddy even bush would laugh at you there is reason why we are proud of india cuz we are not like us or israel who will or can go to war at the drop of hat on the long run even that is proving costly to them so wake up we are talking about music here not war you dumb moron
0,210,no matter how great your body looks there is something pathetic desperate and trashy about woman that old acting like that
1,211,piiisii apparently knows nothing about cold facts republican trolls make us all sick with their non factual crap you can cry until your lies mean nothing to intelligent people
0,212,the bad part of the story is the dumb redneck republicans like yourself not sure if these folks are sociopaths like you though so you are probably downgrade from them
1,213,you as stupid as you were yesterday
0,214,may never see the light of day again he should never see the light of day again twisted beyond belief you couldn do what he did to dog let alone another human being
1,215,there are lot of morons posting on this site but you are in class all by yourself
1,216,you are moron
0,217,how the fuck do you have orange beef but not orange
1,218,suck my dick yeaah babby pussy
1,219,autumn you are and idiot red flag girls with no sense of humor
0,220,eli manning brett favre john elway
0,221,if she will not sleep with you you could probably just force yourself on her and any reasonable judge would take that tattoo as permission to date rape stamp
0,222,holder and obama will be hit back from all directions and times as hard dozens inside the doj and the wh who have dignity and patriotism will turn on them both like rabid dogs this administration is goind down and right into federal prison nothing can stop it now nothing at all the people are pissed off and out for heads holder peice of shit obama fucked up sociopath
0,223,so is skunk half black and half white and they both stink why do people stink so blind people can them too lol
0,224,wonder if that stand up in court he might have killed someone but fuck me he can play cricket he was prick
0,225,they are not the pg proposal is list of people who have committed crimes with gun not way to register guns is no one else disturbed by the idea of the government maintaining lists of people they do not like cue you know who else had lists of people they do not like jokes in
0,226,@name @name you know if you stick screw driver in your mouth and bang on your fillings you might be able to pick up an easy listening channel
1,227,that is because you are nobody
0,228,the korem foundation will never see another dollar from me
0,229,just did it but for some reason it is not registering maybe needs some time
0,230,could be as effective ineffective as huff
1,231,yo this my nigga right here my my boi lil fuck bitches on the regular we fucking everyone bitches tell yo boys that yo bitches aint safe when mel gibson lil rollin out on bitch hunt
0,232,oh hey have yousaid it if you like
0,233,it means the world isn changing it means the world has already changed steven goldstein chairman of the gay rights group garden state equality but right is right and wrong is still wrong
0,234,omg are you vs girl you hit up the semi annual went fucking crazy
1,235,you are incredibly stupid
0,236,@name in few years they will make damn movie about daddy rides
0,237,like you aggie
0,238,obamawon due to the media not doing their jobs we still know nothing about obama and its almost years later why
0,239,god bless you and may you live long and fruitful life and spread your wisdom
0,240,ha am glad you are pena is girl you know he really wants to play for the red sox he is from boston and went to northeastern but got cut by the sox and he is terrible ha you have zero valid points
0,241,am moderate am fiscally conservative but am moderate on the social issues the republican party is no longer the party of goldwater teddy roosevelt nor even reagan the gop is the party of jerry falwell tony perkins and people like michelle bachmann because am gay and can not find place in the gop voted for obama in however this year am considering voting for romney this year republicans better hope romney gets the nomination because santorum would be handing the election to obama santorum is scary conservative he wants the government to be all up in peoples business and would not be surprised if president santorum created morality police believe the majority of americans are moderate and what this country needs is moderate am so tired of us swinging from extreme left to extreme right and back again
1,242,why did you do because you smell like dog poo you are so stupid just like dog poo you are made outta poo
0,243,the democrats would sell out our young job seekers for handful of illegal votes and cent tomato
0,244,pass on grass and pass on rainbows and wings
0,245,you would not know failed policy if it sent you and all your neighbors to the poorhouse
0,246,but jack from raleigh wasn done he came back with this bit of furious grammatical hell jack calm down god d@mn hilarious who writes your material mm never even acknowledged we were here well accept when uber ticked him off grazid not only interacts with us he calls you dumb when you are being dumb right
0,247,maybe republicans can not use filibusters in union votes to grind all decisions to halt is probably enough to win elections there
0,248,@name tm@nobjustryan funny thing happened on the way to that forum but all the optimists were too happy to notice
1,249,yeah am pathetic but your the idiot going around trolling other teams pages why do not you get f#$@ing life you little sh thead
0,250,ron paul could start his own third party tomorrow and suck large percentage of democrats republicans libertarians and independents with him you think ross perot was ron paul might even challenge to win running as rd party candidate
0,251,we can tell by their mugshots who is pinky and who is brain lol
1,252,ugly bitch go prostitute yourself so dat you can buy big enough pant bottom to cover your gigantic ass
0,253,if you want to lick jewish ass go do it in jerusalem but stop using this country you israel-first traitor
0,254,agreed you come on here to proclaim useless point to the cnn parasites that have nothing else better to do then trying to make valid point
0,255,@name unless that happened by chance
0,256,are you edge-triggered or
0,257,nice smelling er spelling sphincter
0,258,how do you who says everyone has to have moral standards based on my
0,259,too bad that would not do anything about the gay american citizens found in all other states
0,260,mr cagape the things you have listed are true but only the tip of an iceberg have been in hong kong for two years now and the longer stay here the more hate this place it is horribly crowded which leads to plenty of rude people and deathly polluted air it is ridiculously expensive and even so the nicer and expensive restaurants are always booked out and the services are shit it is superficial; if you are or want to be nice person you will always get taken advantage of unless you dress in such way that says am rich on your forehead even if you are rich like some of the chinese mainlanders that rush into the city for weekend shopping spree you will still get treated like shit do not get why people love hong kong so much it may look civil on the outside but on the inside it is rotten to the core it is just capitalism you may say but do not see it in the us and do not even see it in china mainland which contrary to what they argue is very much capitalist living here does not make me rich it makes me pull ot everyday put up with selfish rude people everywhere and pay ridiculously high rent for tiny apartment every month if live here for another two years will become so bitter that might just fit in
0,261,yeah know am being troll on purpose still and will always be known as jskop do not have to change my account every few days because am awesome like that can troll one day and the next be taken seriously by everyone
0,262,
0,263,if you wrap your computer in foil you can stop them from taking your posts down
0,264,she is ugly so she would complain
0,265,operation investors from crashing stock
0,266,actually the packer still have the rights to jolly
0,267,from your computer through their website
0,268,this is what wore to the most recent wedding attended which was daytime black tie optional think looked glamorous as fuck
0,269,pig noesed no talent jack this guy should get the worst actor award every year
0,270,and the last day is upon us will be the lucky doubt it but it is still sexy piece of hardware
0,271,uh if the autopsy plus the exam of the girl prove that he was raping the daughter then he was caught red-handed which does not fall under the category innocent until proven guilty if you would not do the same thing in that father is shoes then you do not have children
0,272,come on sweeney show us again man
0,273,its going to be difficult to lose weight in days honestly most of the weight that you will lose is going to be water and maybe little bit of muscle and fat if you are very careful with your calories you can also be certain that you will gain it back again once you get of the diet recommend that to take it slow and easy so you can see the long-term benefits have personally lost lbs since dec my blood pressure was now its my cholesterol was mg/dl now its mg/dl am no longer pre-diabetic and am in the best shape of my life it wasn easy but can say that everyone can do it if they have the right program if you are interested in my story please head over to zdiets net cheers ryan parker
1,274,you are pussy ass punk
0,275,apparently hickson has said he will take the min to play with lebron again good bench player for the heat
0,276,simply terrible cop should be fired
0,277,very sorry about robin however can guarantee that if this was story about just your average person it would not be getting this much attention sorry if its offensive but tough shit its the truth and you all know it
1,278,ha atleast get your insults straight you idiot
0,279,neil hold your ground do not admit to something you did not do to satisfy an outward agenda by those who want to conform to international racing for their own profit yes you have violations as many other trainers do but you are the center of attention right now no better person to attack you live in faulty generation caught up in personal transference of wrongdoing by the general public focused on lack of commitment to themselves family and country doug just look around you and see what the present day ideology has done to our country now they want you to become part of that same agenda in the sports world do not do it the people around you know you for who you really are forget about the deadbeats and the press who themselves should be ashamed of their lack of responsibility to the people of this country focus on winning the triple crown your way you have come this far on your own stay that way good luck the ctrue fans will support you for who you are not what others want to make of you
